bkav,2,4,0,0,0,0,0,0,1,0,0
suachuatulanh,2.81507241,13,0,0,0,0,0,0,0,0,1
novadeli,3,8,0,0,0,0,0,0,1,0,0
imotorbike,2.921928095,10,0,0,0,0,0,0,1,0,0
verifyzone,3.121928095,10,0,0,1,0,0,0,1,0,0
sd8765,2.584962501,6,66.66666667,0,1,0,0,0,1,0,0
eviet,1.921928095,5,0,0,0,0,0,0,1,0,0
cltocdo,2.235926351,7,0,0,1,0,0,0,1,0,0
vtvcabhanoi,3.095795255,11,0,0,0,1,0,0,0,0,0
vniatinbenks,3.022055209,12,0,0,1,1,0,0,0,0,0
autocare,2.75,8,0,0,0,0,0,0,1,0,0
wetien,2.251629167,6,0,0,1,0,0,0,1,0,0
flbowin,2.807354922,7,0,0,1,0,0,0,1,0,0
premium,2.521640636,7,0,0,0,0,0,0,1,0,0
thientin,2.25,8,0,0,0,1,0,0,0,0,0
panadol,2.521640636,7,0,0,0,0,0,0,1,0,0
garenafreefire-memberrship,3.349692969,26,0,1,1,0,0,0,1,0,0
baohagiang,2.646439345,10,0,0,0,1,0,0,0,0,0
doanhnghiepvadoanhnhan,3.022629779,22,0,0,0,0,0,0,0,0,1
baovehoasendongnai,3.26633264,18,0,0,0,1,0,0,0,0,0
mistersize,2.721928095,10,0,0,0,0,0,0,1,0,0
gtaxi,2.321928095,5,0,0,0,0,0,0,1,0,0
babydogedoodoo,2.495602924,14,0,0,1,0,0,0,1,0,0
vn-1xbet,3,8,12.5,1,1,0,0,1,0,0,0
tinspa,2.584962501,6,0,0,0,1,0,0,0,0,0
9a2,1.584962501,3,66.66666667,0,0,0,0,0,1,0,0
vtvtravel,2.419381946,9,0,0,0,1,0,0,0,0,0
moldpresscn,3.277613437,11,0,0,0,0,0,0,1,0,0
miu68,2.321928095,5,40,0,1,0,0,0,1,0,0
tclmm,1.921928095,5,0,0,1,0,0,0,0,0,1
mmkhp91781,2.921928095,10,50,0,1,0,0,0,1,0,0
fbs52,2.321928095,5,40,0,1,0,0,0,1,0,0
fintwin,2.235926351,7,0,0,0,0,0,0,1,0,0
bdsquangngai,3.084962501,12,0,0,0,0,0,0,0,0,1
lt991,1.921928095,5,60,0,1,0,0,0,1,0,0
medilyn,2.807354922,7,0,0,0,0,0,0,1,0,0
gameshopvn,3.321928095,10,0,0,1,0,0,1,0,0,0
xs323,1.921928095,5,60,0,1,0,0,0,1,0,0
vapa,1.5,4,0,0,0,0,0,0,1,0,0
mochagroup6,3.277613437,11,9.090909091,0,1,0,0,0,1,0,0
hotlive36,3.169925001,9,22.22222222,0,1,0,0,0,1,0,0
beone,1.921928095,5,0,0,1,0,0,0,0,0,1
doorclearrootmother,3.005314857,19,0,0,1,0,0,0,1,0,0
giaybaobitoancau,3.125,16,0,0,0,1,0,0,0,0,0
pdg,1.584962501,3,0,0,0,0,0,0,1,0,0
dienquannetwork,3.456564762,15,0,0,1,0,0,0,1,0,0
anzbaohanh,2.446439345,10,0,0,0,1,0,0,0,0,0
sacombank-sbr,3.238901257,13,0,1,1,0,0,0,1,0,0
thongcongboncau24h,3.308270835,18,11.11111111,0,0,1,0,0,0,0,0
pmmk221,2.235926351,7,42.85714286,0,1,0,0,0,1,0,0
eclbet4,2.521640636,7,14.28571429,0,1,0,0,1,0,0,0
tamvietland,3.095795255,11,0,0,0,0,0,0,1,0,0
baovevoanh,2.721928095,10,0,0,0,1,0,0,0,0,0
sd9480,2.584962501,6,66.66666667,0,1,0,0,0,1,0,0
hometrainer,3.095795255,11,0,0,0,0,0,0,0,0,1
khanhhoa,2.155639062,8,0,0,0,0,0,0,1,0,0
amzpt,2.321928095,5,0,0,1,0,0,0,1,0,0
como,1.5,4,0,0,0,0,0,0,1,0,0
sd9457,2.584962501,6,66.66666667,0,1,0,0,0,1,0,0
clmmbet,2.521640636,7,0,0,1,0,0,1,0,0,0
sd9718,2.584962501,6,66.66666667,0,1,0,0,0,1,0,0
baobisangtao,2.855388542,12,0,0,0,1,0,0,0,0,0
la734,2.321928095,5,60,0,1,0,0,0,1,0,0
digifinez,2.641604168,9,0,0,1,0,0,0,1,0,0
tangqua01vn,3.095795255,11,18.18181818,0,1,0,0,0,0,0,1
xinbochegn,3.121928095,10,0,0,1,0,0,0,1,0,0
baovebaotrung,3.238901257,13,0,0,0,1,0,0,0,0,0
xnew88,2.251629167,6,33.33333333,0,1,0,0,0,1,0,0
khogame88,2.947702779,9,22.22222222,0,1,0,0,0,1,0,0
fbs62,2.321928095,5,40,0,1,0,0,0,1,0,0
greencontrols,3.085055103,13,0,0,0,0,0,0,1,0,0
tinhot247vn,3.095795255,11,27.27272727,0,1,1,0,0,0,0,0
meetup111,2.419381946,9,33.33333333,0,1,0,0,0,1,0,0
doctorweb,2.947702779,9,0,0,0,0,0,0,1,0,0
tamphat,2.235926351,7,0,0,1,0,0,0,1,0,0
vn9599,1.79248125,6,66.66666667,0,1,0,0,0,1,0,0
ktktbp,1.918295834,6,0,0,0,0,0,0,1,0,0
nhadepmienbac,3.238901257,13,0,0,0,0,0,0,0,0,1
thongtintoanha,2.69951385,14,0,0,0,1,0,0,0,0,0
aptaclub,2.75,8,0,0,0,0,0,1,0,0,0
phuongtanthanh,2.842370993,14,0,0,0,0,0,0,1,0,0
napthequocte,3.251629167,12,0,0,1,0,0,0,1,0,0
colorfullife,2.855388542,12,0,0,0,0,0,0,1,0,0
anlao,1.921928095,5,0,0,0,0,0,0,0,0,1
vietkidsiq,2.846439345,10,0,0,0,0,0,0,1,0,0
vaytienapp,2.921928095,10,0,0,1,0,0,0,1,0,0
kone365,2.807354922,7,42.85714286,0,1,0,0,0,1,0,0
timviecnhanh,3.084962501,12,0,0,0,0,0,0,1,0,0
jobbank,2.521640636,7,0,0,0,0,0,0,1,0,0
rzqzh1l,2.521640636,7,14.28571429,0,1,0,0,0,1,0,0
nguyenhoangson,2.950212065,14,0,0,0,0,0,0,0,0,1
thanhcongbaove,3.235926351,14,0,0,0,1,0,0,0,0,0
vivianovini,2.118078209,11,0,0,1,0,0,0,0,0,1
cetaphil,3,8,0,0,0,0,0,0,1,0,0
menglish,3,8,0,0,0,0,0,0,1,0,0
congtybaovethangloi,3.576617645,19,0,0,0,1,0,0,0,0,0
sunshineheritage,3.202819531,16,0,0,0,0,0,0,1,0,0
thuvienhaichau,3.039148672,14,0,0,1,0,0,0,0,0,1
mattran,2.235926351,7,0,0,0,0,0,0,1,0,0
startalk,2.5,8,0,0,0,0,0,0,1,0,0
rida008,2.521640636,7,42.85714286,0,1,0,0,0,1,0,0
th9950,2.251629167,6,66.66666667,0,1,0,0,0,1,0,0
kiemtiencv19,3.251629167,12,16.66666667,0,1,0,0,0,1,0,0
thucphamonline,3.521640636,14,0,0,0,1,0,0,0,0,0
vix-app,2.521640636,7,0,1,1,0,0,0,1,0,0
tailocmomo,2.646439345,10,0,0,1,0,0,0,1,0,0
tiki11,1.918295834,6,33.33333333,0,1,0,0,0,1,0,0
trungtinpharma,3.235926351,14,0,0,0,1,0,0,0,0,0
agribanks3,3.121928095,10,10,0,1,0,0,0,1,0,0
tongdaixelientinh247,3.646439345,20,15,0,0,1,0,0,0,0,0
oxii,1.5,4,0,0,0,0,0,0,1,0,0
truyenhinhvtvcab,3.5,16,0,0,0,1,0,0,0,0,0
suckhoedanong,3.39274741,13,0,0,0,0,0,0,0,0,1
buoiholo,2.405639062,8,0,0,0,0,0,0,0,0,1
dailyruou,2.947702779,9,0,0,0,1,0,0,0,0,0
sd1601,2.251629167,6,66.66666667,0,1,0,0,0,1,0,0
mitsubishi-hcm,3.039148672,14,0,1,0,0,0,0,1,0,0
fbs16,2.321928095,5,40,0,1,0,0,0,1,0,0
win-edu,2.807354922,7,0,1,0,0,0,0,0,0,1
baobitienphat,3.085055103,13,0,0,0,1,0,0,0,0,0
viplovaa,2.5,8,0,0,1,0,0,0,1,0,0
cantho,2.584962501,6,0,0,0,0,0,0,1,0,0
sd1670,2.584962501,6,66.66666667,0,1,0,0,0,1,0,0
lebensraum-kgs,3.521640636,14,0,1,1,0,0,0,1,0,0
clmm02,2.251629167,6,33.33333333,0,1,0,0,0,0,0,1
nhac,2,4,0,0,0,0,0,0,1,0,0
