url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
phuyen edu,6,2.585,0,0,0,0,0,0,0,1,0
thongcaobaochi net,14,3.039,0,0,1,0,0,0,0,0,1
viva88help com,10,2.922,20,0,0,0,0,0,0,1,1
libertyvn,9,3.17,0,0,0,0,0,0,0,1,0
jaccs site,5,1.922,0,0,0,0,0,0,0,1,1
hoatrangnguyen com,14,3.182,0,0,0,0,0,0,1,0,0
brightstar edu,10,2.922,0,0,0,0,0,0,0,1,0
lamtaobao,9,2.419,0,0,1,0,0,0,0,0,0
vaythechapvungtau com,17,3.337,0,0,0,0,0,0,1,0,0
atcredit net,8,2.75,0,0,0,0,0,0,1,0,1
vietbeauties com,12,2.855,0,0,0,0,0,0,0,1,0
shiden pro,6,2.585,0,0,0,0,0,0,0,1,1
la63942 com,7,2.807,71.429,0,0,0,0,0,0,1,1
hoianfeel com,9,2.948,0,0,0,0,0,0,1,0,0
bnewspr com,7,2.807,0,0,1,0,0,0,0,0,1
maytinhnguyengia,16,3.203,0,0,1,0,0,0,0,0,0
h3c,3,1.585,33.333,0,0,0,0,0,0,1,0
winter-zirngibl de,15,3.323,0,1,0,0,0,0,0,1,1
napvatpham com,10,2.646,0,0,0,0,0,0,0,1,1
shopmeowbg com,10,3.122,0,0,0,0,0,0,1,0,1
vn-us club,5,2.322,0,1,0,0,0,0,0,1,1
cuahangkasa com,11,2.732,0,0,0,0,0,0,1,0,1
sd9478 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
soicau88 net,8,2.75,25,0,0,0,1,0,0,0,1
hotlive043 vip,10,3.322,30,0,0,0,0,0,0,1,1
fblaz com,5,2.322,0,0,0,0,0,0,0,1,1
viettinhhoa com,11,2.914,0,0,1,0,0,0,0,0,0
vnmeishi vip,8,2.75,0,0,0,0,0,0,0,1,1
phutunggiakhiem,15,3.374,0,0,0,0,0,0,1,0,0
hahoatien edu,9,2.725,0,0,0,0,0,0,0,1,0
qki55 com,5,1.922,40,0,0,0,0,0,0,1,1
vn-vi cc,5,1.922,0,1,0,0,0,0,0,1,1
vaytienonl,10,3.122,0,0,0,0,0,0,1,0,1
sinhvien24h,11,2.914,18.182,0,1,0,0,0,0,0,0
soytedienbien gov,13,3.027,0,0,0,0,0,0,0,1,0
333win456 com,9,2.642,66.667,0,0,0,0,0,0,1,1
lazada1 com,7,2.128,14.286,0,0,0,0,0,0,1,1
baobialy com,8,2.5,0,0,1,0,0,0,0,0,0
rik6868 com,7,2.236,57.143,0,0,0,0,0,0,1,1
baophuyen,9,3.17,0,0,1,0,0,0,0,0,0
