url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
namsachvietnam,14,3.182,0,0,0,1,0,0,0,0,0
quatangplaytogether com,19,3.537,0,0,0,0,0,0,1,0,1
tinmungduongpho com,15,3.19,0,0,1,0,0,0,0,0,0
vaytien3s com,9,3.17,11.111,0,0,0,0,0,0,1,1
tk4622 com,6,2.252,66.667,0,0,0,0,0,0,1,1
shopeehub online,9,2.725,0,0,0,0,0,0,1,0,1
viagra com,6,2.252,0,0,0,0,0,0,1,0,0
tanvietbao,10,2.922,0,0,1,0,0,0,0,0,0
onve2 com,5,2.322,20,0,0,0,0,0,0,1,1
chanlemomo club,10,2.922,0,0,0,0,0,0,1,0,1
appleusers12345 com,15,3.507,33.333,0,0,0,0,0,1,0,1
dongphucteen,12,3.252,0,0,0,0,0,0,1,0,0
giaohangviettin,15,3.057,0,0,1,0,0,0,0,0,0
thptnamkykhoinghia edu,18,3.35,0,0,0,0,0,0,1,0,1
kimsa2222 com,9,2.281,44.444,0,0,0,0,0,0,1,1
tinhgiavien com,11,2.845,0,0,1,0,0,0,0,0,0
vaytienshinhanbank xyz,18,3.239,0,0,0,0,0,0,0,1,1
vn365 top,5,2.322,60,0,0,0,0,0,0,1,1
gvr com,3,1.585,0,0,0,0,0,0,0,1,0
ulai44 com,6,2.252,33.333,0,0,0,0,0,0,1,1
fovndo com,6,2.252,0,0,0,0,0,0,1,0,1
betvisa,7,2.807,0,0,0,0,1,0,0,0,1
alphafinance live,12,3.022,0,0,0,0,0,0,0,1,1
sanhbai com,7,2.522,0,0,0,0,0,0,0,1,1
lazada-20000 com,12,2.522,41.667,1,0,0,0,0,0,1,1
supportukraine support,14,3.379,0,0,0,0,0,0,1,0,1
credit188 cc,9,2.948,33.333,0,0,0,0,0,0,1,1
baokhangtravel,14,3.468,0,0,1,0,0,0,0,0,0
567live cc,7,2.807,42.857,0,0,0,0,0,0,1,1
nhanquatrianlqmb com,16,3.281,0,0,0,0,0,0,1,0,1
tryku88985 com,10,2.846,50,0,0,0,0,0,0,1,1
toitutin net,8,2.156,0,0,1,0,0,0,0,0,0
garenaamembeship com,16,3.281,0,0,0,0,0,0,0,1,1
dailyviettien com,13,3.027,0,0,1,0,0,0,0,0,0
baogoiyta,9,2.725,0,0,1,0,0,0,0,0,0
cacaointercontinental com,21,3.046,0,0,1,0,0,0,0,0,0
cr779 vip,5,1.922,60,0,0,0,0,0,0,1,1
nganhangviet,12,2.855,0,0,0,0,0,0,1,0,1
noithatgiabaoluxury,19,3.577,0,0,1,0,0,0,0,0,0
aobaove com,7,2.236,0,0,1,0,0,0,0,0,0
fansofdefi-algotech com,19,3.682,0,1,0,0,0,0,0,1,1
ciovn org,5,2.322,0,0,0,0,0,0,0,1,0
banhbaongoc com,11,2.732,0,0,1,0,0,0,0,0,0
codecademy com,10,2.722,0,0,0,0,0,0,0,1,0
thietbigiaothong24h net,19,3.287,10.526,0,1,0,0,0,0,0,0
tintranfurniture com,16,2.858,0,0,1,0,0,0,0,0,0
noithatthome,12,2.855,0,0,0,0,0,0,0,1,0
hvpnvn edu,6,1.918,0,0,0,0,0,0,0,1,0
666u9 com,5,1.371,80,0,0,0,0,0,0,1,1
dailykia,8,2.5,0,0,1,0,0,0,0,0,0
anhbaochi org,9,2.725,0,0,1,0,0,0,0,0,0
pearlfarm,9,2.725,0,0,0,0,0,0,1,0,0
24z live,3,1.585,66.667,0,0,0,0,0,0,1,1
lbh com,3,1.585,0,0,0,0,0,0,0,1,0
netloading com,10,3.122,0,0,0,0,0,0,0,1,0
tapchinganhang gov,14,2.842,0,0,1,0,0,0,0,0,0
lofe21 com,6,2.585,33.333,0,0,0,0,0,0,1,1
nguyentuongbaovy id,16,3.203,0,0,1,0,0,0,0,0,0
sd9445 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
sdklll top,6,1.792,0,0,0,0,0,0,0,1,1
haesa3 gq,6,2.252,16.667,0,0,0,0,0,0,1,1
veia org,4,2,0,0,0,0,0,0,1,0,0
sbitw cc,5,2.322,0,0,0,0,0,0,0,1,1
vaynhanhshinhan net,15,2.523,0,0,0,0,0,0,0,1,1
hagohome,8,2.5,0,0,0,0,0,0,0,1,0
pldsd cn,5,1.922,0,0,0,0,0,0,0,1,1
vnxseee com,7,2.128,0,0,0,0,0,0,1,0,1
greatetokens com,12,3.022,0,0,0,0,0,0,0,1,1
bytedance8 net,10,3.122,10,0,0,0,0,0,0,1,1
muabandocu24h,13,3.393,15.385,0,1,0,0,0,0,0,0
clmm247 net,7,2.522,42.857,0,0,0,0,0,1,0,1
codienhanoi edu,11,2.914,0,0,0,0,0,0,0,1,0
huaxinkeji5554 com,14,3.325,28.571,0,0,0,0,0,0,1,1
24124u com,6,1.918,83.333,0,0,0,0,0,0,1,1
hseco com,5,2.322,0,0,0,0,0,0,1,0,0
vn-ic top,5,2.322,0,1,0,0,0,0,0,1,1
foryune99 com,9,2.948,22.222,0,0,0,0,0,1,0,1
lazada website,6,1.792,0,0,0,0,0,0,0,1,1
fgrfvgergawq com,12,2.855,0,0,0,0,0,0,0,1,1
icanfield,9,2.948,0,0,0,0,0,0,0,1,0
baokiemtoannhanuoc,18,3.377,0,0,1,0,0,0,0,0,0
systemische-teamentwicklung de,27,3.81,0,1,0,0,0,0,0,1,1
newstar-logistic com,16,3.625,0,1,1,0,0,0,0,0,0
conganbacgiang gov,14,2.646,0,0,0,0,0,0,1,0,0
skc com,3,1.585,0,0,0,0,0,0,0,1,1
zzddgf top,6,1.918,0,0,0,0,0,0,0,1,1
baovehoangviet com,14,3.236,0,0,1,0,0,0,0,0,0
truyenhinhcongan,16,3.375,0,0,1,0,0,0,0,0,0
amass,5,1.522,0,0,0,0,0,0,0,1,0
sd4903 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
yo88game net,8,2.75,25,0,0,0,0,0,0,1,1
solv,4,2,0,0,0,0,0,0,0,1,0
easycreditvvn com,13,3.393,0,0,0,0,0,0,1,0,1
armaflex com,8,2.75,0,0,0,0,0,0,0,1,0
thegioithuocbo,14,3.039,0,0,0,0,0,0,0,1,0
donhangkiemtra com,14,3.522,0,0,0,0,0,0,1,0,1
vipoasis store,8,2.5,0,0,0,0,0,0,0,1,1
tbsgroup1 pro,9,3.17,11.111,0,0,0,0,0,0,1,1
petrovietnam online,12,3.252,0,0,0,0,0,0,1,0,1
tetrapak,8,2.5,0,0,0,0,0,0,0,1,0
shopdochoitinhducpro com,20,3.284,0,0,1,0,0,0,0,0,1
iqueqian com,8,2.5,0,0,0,0,0,0,1,0,1
vlcc edu,4,1.5,0,0,0,0,0,0,1,0,0
moviemar6 buzz,9,2.948,11.111,0,0,0,0,0,0,1,1
agricare,8,2.5,0,0,0,0,0,0,0,1,0
machsol,7,2.807,0,0,0,0,0,0,0,1,0
hvshop,6,2.252,0,0,0,0,0,0,0,1,0
timbenhvien,11,2.914,0,0,0,0,0,0,0,1,0
sangiaodichchinhchu,19,3.116,0,0,0,0,0,0,1,0,0
edgecam,7,2.522,0,0,0,0,0,0,0,1,0
cothebanchuabiet edu,16,3.25,0,0,0,0,0,0,0,1,1
napthecaox10 com,12,3.418,16.667,0,0,0,0,0,0,1,1
oppostyle,9,2.725,0,0,0,0,0,0,0,1,0
dalatbirdwatching com,17,3.455,0,0,0,0,0,0,0,1,1
spmct8 com,6,2.585,16.667,0,0,0,0,0,0,1,1
shaoshishaw com,11,2.413,0,0,0,0,0,0,0,1,1
muahack com,7,2.522,0,0,0,0,0,0,0,1,1
alphassl io,8,2.25,0,0,0,0,0,0,0,1,0
baobinhatminh com,13,2.931,0,0,1,0,0,0,0,0,0
soytebaclieu gov,12,3.418,0,0,0,0,0,0,1,0,0
sexvui xyz,6,2.585,0,0,0,0,0,1,0,0,1
hotlive75 vip,9,3.17,22.222,0,0,0,0,0,0,1,1
checkthongtinonline com,19,3.195,0,0,1,0,0,0,0,0,1
vn-lo-mo-19981 online,14,3.039,35.714,3,0,0,0,0,0,1,1
phonggdkrongpac edu,15,3.19,0,0,0,0,0,0,1,0,1
ee88 club,4,1,50,0,0,0,0,0,0,1,1
tptech com,6,2.252,0,0,0,0,0,0,0,1,0
trum3s com,6,2.585,16.667,0,0,0,0,0,0,1,1
taichinhcaptoc com,14,2.896,0,0,0,0,0,0,0,1,1
netinterior com,11,2.55,0,0,1,0,0,0,0,0,0
familie-gerwe de,13,3.181,0,1,0,0,0,0,0,1,1
trangtuyensinh24h com,17,3.572,11.765,0,1,0,0,0,0,0,0
lmgvn com,5,2.322,0,0,0,0,0,0,0,1,0
fiximtime com,9,2.419,0,0,0,0,0,0,0,1,1
th9972 com,6,2.252,66.667,0,0,0,0,0,0,1,1
baovethienlongvuong com,19,3.432,0,0,1,0,0,0,0,0,0
dd7vn me,5,1.922,20,0,0,0,0,0,0,1,1
chanle88 info,8,2.75,25,0,0,0,0,0,0,1,1
chanlemomo04 club,12,3.252,16.667,0,0,0,0,0,1,0,1
vn-ch xyz,5,2.322,0,1,0,0,0,0,0,1,1
11bet win,5,1.922,40,0,0,0,1,0,0,0,1
sd9460 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
xaydungphongthuy,16,3.375,0,0,0,0,0,0,1,0,0
easy-ec6 xyz,8,2.75,12.5,1,0,0,0,0,0,1,1
tintuccnkhi com,11,2.732,0,0,1,0,0,0,0,0,0
snowaiapp com,9,2.725,0,0,0,0,0,0,1,0,1
gdtd,4,1.5,0,0,0,0,0,0,0,1,0
sd9709 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
cltx info,4,2,0,0,0,0,0,0,0,1,1
dulichchiemhoa gov,14,3.182,0,0,0,0,0,0,1,0,0
sukienffvn2021 com,14,3.379,28.571,0,0,0,0,0,0,1,1
bfood com,5,1.922,0,0,0,0,0,0,1,0,0
vksyb gov,5,2.322,0,0,0,0,0,0,0,1,0
dybits life,6,2.585,0,0,0,0,0,0,0,1,1
tinchapvietcombank24h com,21,3.821,9.524,0,1,0,0,0,0,0,1
quangnam gov,8,2.5,0,0,0,0,0,0,1,0,0
ebuyy shop,5,1.922,0,0,0,0,0,0,0,1,1
baovebinhminhbmc com,16,3.203,0,0,1,0,0,0,0,0,0
baobitienphat,13,3.085,0,0,1,0,0,0,0,0,0
pazo,4,2,0,0,0,0,0,0,0,1,0
vng97 com,5,2.322,40,0,0,0,0,0,0,1,1
thebank247 ga,10,3.322,30,0,0,0,0,0,0,1,1
luatnamsao,10,2.846,0,0,0,1,0,0,0,0,0
vayagribank online,11,3.027,0,0,0,0,0,0,0,1,1
ccfb tk,4,1.5,0,0,0,0,0,0,0,1,1
thkkootech top,10,2.522,0,0,0,0,0,0,0,1,1
yendoctor,9,2.948,0,0,0,0,0,0,0,1,0
hongchachaoshi999 com,17,2.984,17.647,0,0,0,0,0,0,1,1
atm-tool net,8,2.5,0,1,0,0,0,0,0,1,1
labeaute-baoloc,15,3.057,0,1,1,0,0,0,0,0,0
tt333 one,5,0.971,60,0,0,0,0,0,0,1,1
tinhieuvn com,9,2.725,0,0,1,0,0,0,0,0,0
bemcltx win,7,2.807,0,0,0,0,0,0,0,1,1
189319 com,6,1.918,100,0,0,0,0,0,0,1,1
tailieudoc,10,3.122,0,0,0,0,0,0,1,0,0
yuvmoney xyz,8,2.75,0,0,0,0,0,0,0,1,1
xaydungtinhgia,14,3.236,0,0,1,0,0,0,0,0,0
sanqua-lienminh2021 cf,19,3.682,21.053,1,0,1,0,0,0,0,1
vcbdaigibink com,12,3.022,0,0,0,0,0,0,1,0,1
baovetot com,8,2.5,0,0,1,0,0,0,0,0,0
news66 us,6,2.252,33.333,0,1,0,0,0,0,0,1
dataenergy,10,2.922,0,0,0,0,0,0,0,1,0
giaovienvietnam,15,3.057,0,0,0,0,0,0,1,0,0
scamadviser com,11,3.096,0,0,0,0,0,0,1,0,0
hutwebgp com,8,3,0,0,0,0,0,0,0,1,1
indovinabank com,12,2.855,0,0,0,0,0,0,0,1,0
hpcc edu,4,1.5,0,0,0,0,0,0,0,1,0
vn-garena,9,2.725,0,1,0,0,0,0,0,1,1
stockbitfinance online,15,3.374,0,0,0,0,0,0,0,1,1
uscloudminer com,12,3.418,0,0,0,0,0,0,1,0,1
dienmaythienhoa,15,3.24,0,0,0,0,0,0,1,0,0
chongthamsontinh com,16,3.156,0,0,1,0,0,0,0,0,0
plotv com,5,2.322,0,0,0,0,0,0,0,1,0
bambooairway,12,2.855,0,0,0,0,0,0,1,0,1
thegioididong net,13,2.873,0,0,0,0,0,0,1,0,1
tinphong,8,2.75,0,0,1,0,0,0,0,0,0
xagency,7,2.807,0,0,0,0,0,0,0,1,0
hethongviet369 com,14,3.379,21.429,0,0,0,0,0,0,1,1
bonia,5,2.322,0,0,0,0,0,0,1,0,0
hoangminh2 org,10,2.922,10,0,0,0,0,0,1,0,1
golohome,8,2.406,0,0,0,0,0,0,0,1,0
nanghanmuc-thetindung com,21,3.363,0,1,1,0,0,0,0,0,1
rxglobal com,8,2.75,0,0,0,0,0,0,0,1,0
m567 live,4,2,75,0,0,0,0,0,0,1,1
shop6886 com,8,2.5,50,0,0,0,0,0,0,1,1
allfarmideas com,12,3.022,0,0,0,0,0,0,0,1,1
avoury,6,2.585,0,0,0,0,0,0,0,1,0
sxmb,4,2,0,0,0,0,0,0,0,1,0
baoduy com,6,2.585,0,0,1,0,0,0,0,0,0
onlinevey,9,2.725,0,0,1,0,0,0,0,0,0
baovessic com,9,2.948,0,0,1,0,0,0,0,0,0
clmm24h com,7,2.522,28.571,0,1,0,0,0,0,0,1
vietintech com,10,2.722,0,0,1,0,0,0,0,0,0
phaochidoric,12,2.918,0,0,0,0,0,0,0,1,0
btinvestment,12,2.855,0,0,1,0,0,0,0,0,0
567y live,4,2,75,0,0,0,0,0,0,1,1
wetien,6,2.252,0,0,0,0,0,0,0,1,1
coinjabs com,8,3,0,0,0,0,0,0,0,1,1
hrnzackbarstqf com,14,3.522,0,0,0,0,0,0,0,1,1
simondata2 pro,10,3.122,10,0,0,0,0,0,0,1,1
rut-tien-the-tin-dung online,21,3.118,0,4,1,0,0,0,0,0,1
nhanthuong2021 com,14,3.182,28.571,0,0,0,0,0,0,1,1
recof,5,2.322,0,0,0,0,0,0,0,1,0
solargroup pro,10,2.922,0,0,0,0,0,0,0,1,1
ff-members-garena xyz,17,3.22,0,2,0,0,0,0,0,1,1
vnvay top,5,1.922,0,0,0,0,0,0,0,1,1
cucbaochi gov,9,2.642,0,0,1,0,0,0,0,0,0
bsingetplus com,11,3.278,0,0,0,0,0,0,0,1,1
topbank,7,2.807,0,0,0,0,0,0,0,1,1
cqbbxjc cn,7,2.236,0,0,0,0,0,0,0,1,1
vietnamesports,14,3.379,0,0,0,0,0,0,0,1,0
fushimilk,9,2.948,0,0,0,0,0,0,0,1,0
intermix com,8,2.75,0,0,0,0,0,0,0,1,0
pecpower,8,2.5,0,0,0,0,0,0,1,0,0
iearnbot com,8,3,0,0,0,0,0,0,0,1,1
mmo247 online,6,2.252,50,0,0,0,0,0,0,1,1
vitinhhoangphat,15,3.057,0,0,1,0,0,0,0,0,0
insurancexl vip,11,3.278,0,0,0,0,0,0,0,1,1
baotintax com,9,2.725,0,0,1,0,0,0,0,0,0
hackv2 online,6,2.585,16.667,0,0,0,0,0,0,1,1
tapchidienanh net,13,3.085,0,0,1,0,0,0,0,0,1
dienmayxanhh com,12,3.085,0,0,0,0,0,0,1,0,1
seolalen com,8,2.5,0,0,0,0,0,0,1,0,1
6hoom com,5,1.922,20,0,0,0,0,0,0,1,1
vn-ebank xyz,8,2.75,0,1,0,0,0,0,0,1,1
baobivietnamsangtao,19,3.301,0,0,1,0,0,0,0,0,0
789bet io,6,2.585,50,0,0,0,1,0,0,0,1
tschechien-bahn de,15,3.19,0,1,0,0,0,0,0,1,1
thpt-thoilong-cantho edu,20,3.246,0,2,0,0,0,0,1,0,0
credit247,9,3.17,33.333,0,0,0,0,0,1,0,1
baoninhthuan com,12,2.855,0,0,1,0,0,0,0,0,0
chongxuattinhsom com,16,3.5,0,0,1,0,0,0,0,0,0
nguoiphucvu,11,3.027,0,0,0,0,0,0,1,0,0
vgu edu,3,1.585,0,0,0,0,0,0,0,1,0
baovethanglongthanh com,19,3.181,0,0,1,0,0,0,0,0,0
khotamop com,8,2.75,0,0,0,0,0,0,0,1,0
momo9s com,6,1.918,16.667,0,0,0,0,0,0,1,1
dtcltx com,6,2.252,0,0,0,0,0,0,0,1,1
dctechhome,10,2.722,0,0,0,0,0,0,0,1,0
tpviet38 com,8,2.75,25,0,0,0,0,0,0,1,1
giftcode-lienquan-vn com,20,3.784,0,2,0,0,0,0,0,1,1
nghean24h info,9,2.725,22.222,0,1,0,0,0,0,0,1
giftcodegarenafreefire com,22,3.227,0,0,0,0,0,0,0,1,1
doithesieutoc com,13,3.085,0,0,0,0,0,0,1,0,1
niphax com,6,2.585,0,0,0,0,0,0,0,1,1
cayxanh24h,10,2.922,20,0,1,0,0,0,0,0,0
rutvadaothetindung com,18,3.461,0,0,1,0,0,0,0,0,1
xabo me,4,2,0,0,0,0,0,0,0,1,1
vaytiengopuytin com,15,3.374,0,0,1,0,0,0,0,0,1
108856 com,6,2.252,100,0,0,0,0,0,0,1,1
trungtamnguyenkim com,17,3.337,0,0,0,0,0,0,1,0,1
hotrotindung com,12,3.085,0,0,1,0,0,0,0,0,1
apecmandalawyndhamphuyen,24,3.403,0,0,0,0,0,0,1,0,1
cntt gov,4,1.5,0,0,0,0,0,0,0,1,0
vietphu com,7,2.807,0,0,0,0,0,0,0,1,0
voh com,3,1.585,0,0,0,0,0,0,0,1,0
9698home7 com,9,2.948,55.556,0,0,0,0,0,0,1,1
playtogether pw,12,3.252,0,0,0,0,0,0,0,1,1
lazada-80000 com,12,2.522,41.667,1,0,0,0,0,0,1,1
sd8799 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
viettelshare com,12,3.022,0,0,0,0,0,0,0,1,1
itjjh96 com,7,2.522,28.571,0,0,0,0,0,0,1,1
closeup,7,2.807,0,0,0,0,0,0,1,0,0
goshoperae com,10,2.922,0,0,0,0,0,0,1,0,1
phukiencnc com,10,2.922,0,0,0,0,0,0,0,1,0
quocviet edu,8,3,0,0,0,0,0,0,0,1,0
vn-tg life,5,2.322,0,1,0,0,0,0,0,1,1
fun7778 com,7,2.128,57.143,0,0,0,0,0,0,1,1
mitsubishi-hcm,14,3.039,0,1,0,0,0,0,0,1,0
baovethaiduong,14,3.522,0,0,1,0,0,0,0,0,0
vaynhanh-icloudvn com,17,3.455,0,1,0,0,0,0,0,1,1
ar com,2,1,0,0,0,0,0,0,0,1,0
vay68 com,5,2.322,40,0,0,0,0,0,0,1,1
vn66666 cc,7,1.149,71.429,0,0,0,0,0,0,1,1
gobientinh com,10,2.922,0,0,1,0,0,0,0,0,0
nbxapp xyz,6,2.252,0,0,0,0,0,0,0,1,1
ftx-pro co,7,2.807,0,1,0,0,0,0,0,1,1
timvieclambaove com,15,3.24,0,0,1,0,0,0,0,0,0
meomm me,5,1.371,0,0,0,0,0,0,1,0,1
pichainmall com,11,2.914,0,0,0,0,0,0,1,0,1
to28 com,4,2,50,0,0,0,0,0,0,1,1
dangkytanggiai2022 com,18,3.155,22.222,0,0,0,0,0,1,0,1
wowbuy,6,2.252,0,0,0,0,0,0,0,1,0
24124q com,6,1.918,83.333,0,0,0,0,0,0,1,1
vodkaquang com,10,3.122,0,0,0,0,0,0,1,0,1
baobitrongoi,12,2.855,0,0,1,0,0,0,0,0,0
facabook site,8,2.5,0,0,0,0,0,0,0,1,1
baohanh-bosch com,13,2.873,0,1,1,0,0,0,0,0,0
vaynhanhvn net,10,2.246,0,0,0,0,0,0,0,1,1
luxvip153 com,9,3.17,33.333,0,0,0,0,0,0,1,1
sd1700 xyz,6,2.252,66.667,0,0,0,0,0,0,1,1
tinhdauthiennhien net,17,2.822,0,0,1,0,0,0,0,0,0
mashyahoo,9,2.503,0,0,0,0,0,0,0,1,0
sandealshopee com,13,3.027,0,0,0,0,0,0,1,0,1
comzxzq19 com,9,2.948,22.222,0,0,0,0,0,0,1,1
sieucaprobux com,12,3.418,0,0,0,0,0,0,1,0,1
lagroup edu,7,2.807,0,0,0,0,0,0,0,1,0
tronhot com,7,2.236,0,0,0,0,0,0,0,1,1
cuulongtranhba com,14,3.379,0,0,0,0,0,0,1,0,1
antarestrade world,12,2.689,0,0,0,0,1,0,0,0,1
topclmm online,7,2.522,0,0,0,0,0,0,1,0,1
carrodsecurities-ltd com,20,3.484,0,1,0,0,0,0,1,0,1
vaytienbangsim com,14,3.379,0,0,0,0,0,0,1,0,1
phucnh id,6,2.252,0,0,0,0,0,0,0,1,0
idea gov,4,2,0,0,0,0,0,0,0,1,0
aaiiivip top,8,1.75,0,0,0,0,0,0,0,1,1
crosswaypostcourier com,19,3.392,0,0,0,0,0,0,0,1,1
bando24h,8,3,25,0,1,0,0,0,0,0,0
kmvnxcv com,7,2.522,0,0,0,0,0,0,0,1,1
sd8715 xyz,6,2.585,66.667,0,0,0,0,0,0,1,1
lazada36 com,8,2.406,25,0,0,0,0,0,0,1,1
thebasic com,8,3,0,0,0,0,0,0,0,1,0
molisa edu,6,2.585,0,0,0,0,0,0,0,1,0
tom edu,3,1.585,0,0,0,0,0,0,1,0,0
wdgcex io,6,2.585,0,0,0,0,0,0,0,1,1
lazadah16 com,9,2.642,22.222,0,0,0,0,0,0,1,1
onebanking,10,2.846,0,0,0,0,0,0,0,1,1
otothongphat,12,2.626,0,0,0,0,0,0,0,1,0
thôngtắchoànmỹ24h,17,3.572,11.765,0,1,0,0,0,0,0,0
duhocthanhan edu,12,2.855,0,0,0,0,0,0,1,0,0
tinhhoahoitu,12,2.689,0,0,1,0,0,0,0,0,0
wayfca com,6,2.252,0,0,0,0,0,0,0,1,1
shopee162 vip,9,2.948,33.333,0,0,0,0,0,1,0,1
hupchanle club,9,2.948,0,0,0,0,0,0,1,0,1
yduoc247 edu,8,3,37.5,0,0,0,0,0,1,0,0
valentino com,9,2.948,0,0,1,0,0,0,0,0,0
hakuraskin info,10,2.922,0,0,0,0,0,0,1,0,0
zvietcombank com,12,3.585,0,0,0,0,0,0,0,1,1
shbuy net,5,2.322,0,0,0,0,0,0,0,1,1
uptop com,5,1.922,0,0,0,0,0,0,0,1,0
ducthienth edu,10,2.922,0,0,0,0,0,0,1,0,0
topkiemtien365 com,14,3.379,21.429,0,0,0,0,0,0,1,1
cltx88 info,6,2.252,33.333,0,0,0,0,0,0,1,1
chongthamviettin com,16,3.328,0,0,1,0,0,0,0,0,0
kinggalbi com,9,2.725,0,0,0,0,0,0,0,1,0
bbit,4,1.5,0,0,0,0,0,0,0,1,0
chanhtin,8,2.5,0,0,1,0,0,0,0,0,0
loavitinh com,9,2.948,0,0,1,0,0,0,0,0,0
trongtinjsc com,11,3.096,0,0,1,0,0,0,0,0,0
tapchicuaviet com,13,3.085,0,0,1,0,0,0,0,0,0
uf58s5 cyou,6,2.252,50,0,0,0,0,0,0,1,1
fa88vn vin,6,2.252,33.333,0,0,0,0,0,0,1,1
cayxanh net,7,2.522,0,0,0,0,0,0,0,1,0
dfgfdg345 com,9,2.503,33.333,0,0,0,0,0,0,1,1
dinhhuy click,7,2.522,0,0,0,0,0,0,0,1,1
caodangnghe-qn edu,14,3.182,0,1,0,0,0,0,1,0,0
nhabaonu com,8,2.5,0,0,1,0,0,0,0,0,0
btcoincloudmine com,15,3.374,0,0,0,0,0,0,1,0,1
toy18,5,2.322,40,0,0,0,0,0,0,1,0
naptienminiworld com,16,3.406,0,0,0,0,0,0,1,0,1
vn-eg xyz,5,2.322,0,1,0,0,0,0,0,1,1
88in6 com,5,1.922,60,0,0,0,0,0,0,1,1
ngucocfitform,13,3.239,0,0,0,0,0,0,1,0,0
vebo79 com,6,2.585,33.333,0,0,0,0,0,0,1,1
bvq444 com,6,1.792,50,0,0,0,0,0,0,1,1
xahrj com,5,2.322,0,0,0,0,0,0,0,1,1
ispace edu,6,2.585,0,0,0,0,0,0,0,1,0
24124k com,6,1.918,83.333,0,0,0,0,0,0,1,1
rangthammy com,10,2.922,0,0,0,0,0,0,1,0,0
phimbogia com,9,2.948,0,0,0,0,0,0,1,0,1
kse-immobilien-24 de,17,3.455,11.765,2,0,0,0,0,1,0,1
cnnlnb edu,6,1.792,0,0,0,0,0,0,0,1,0
apibinance co,10,2.722,0,0,0,0,1,0,0,0,1
v99 mobi,3,0.918,66.667,0,0,0,0,0,0,1,1
webinfo-ebank com,13,3.239,0,1,0,0,0,0,1,0,1
sanvuonbaoloc,13,3.027,0,0,1,0,0,0,0,0,0
tinphatsticker com,14,3.325,0,0,1,0,0,0,0,0,0
vanishop,8,3,0,0,0,0,0,0,0,1,0
inthuytinh com,10,2.522,0,0,1,0,0,0,0,0,0
fjgjy9j com,7,2.128,14.286,0,0,0,0,0,0,1,1
baovenamtrungbac com,16,3.453,0,0,1,0,0,0,0,0,0
soxaydungbackan gov,15,3.457,0,0,0,0,0,0,1,0,0
wwv-sieuno win,10,3.122,0,1,0,0,0,0,1,0,1
17viva com,6,2.252,33.333,0,0,0,0,0,0,1,1
vn-tn info,5,1.922,0,1,0,0,0,0,0,1,1
medgroup,8,3,0,0,0,0,0,0,0,1,0
go789 club,5,2.322,60,0,0,0,0,0,0,1,1
hxdsasd4 com,8,2.5,12.5,0,0,0,0,0,0,1,1
thuocgiamcanab com,14,3.325,0,0,0,0,0,0,1,0,1
dailocgroup com,11,3.278,0,0,0,0,0,0,1,0,0
moonlive sh,8,2.75,0,0,0,0,0,0,0,1,1
niftygotevay com,12,3.252,0,0,0,0,0,0,0,1,1
th8880 com,6,1.792,66.667,0,0,0,0,0,0,1,1
thehub,6,2.252,0,0,0,0,0,0,0,1,0
06io6r website,6,2.252,50,0,0,0,0,0,0,1,1
ánhsángvàcuộcsống,17,3.337,0,0,0,0,0,0,0,1,0
taxinoibai24h,13,3.181,15.385,0,1,0,0,0,0,0,0
iwin339 com,7,2.236,42.857,0,0,0,0,0,0,1,1
pixwares com,8,3,0,0,0,0,0,0,0,1,1
hongoanh,8,2.25,0,0,0,0,0,0,0,1,0
moit gov,4,2,0,0,0,0,0,0,0,1,0
thietkenhadepbaoloc com,19,3.577,0,0,1,0,0,0,0,0,0
thoibaotaichinhvietnam com,22,3.266,0,0,1,0,0,0,0,0,1
paot top,4,2,0,0,0,0,0,0,0,1,1
abfishop com,8,3,0,0,0,0,0,0,0,1,1
shinhanapp org,10,2.522,0,0,0,0,0,0,0,1,1
vietnamkdam com,11,3.096,0,0,0,0,0,0,0,1,1
onlineshop666 com,13,3.027,23.077,0,1,0,0,0,0,0,1
cema gov,4,2,0,0,0,0,0,0,0,1,0
nhanqua-garena com,14,2.896,0,1,0,0,0,0,0,1,1
kenhvtc9,8,3,12.5,0,0,0,0,0,0,1,0
1edu,4,2,25,0,0,0,0,0,1,0,0
baodoanhnghiep,14,3.236,0,0,1,0,0,0,0,0,0
taixiuzalo com,10,2.922,0,0,0,0,1,0,0,0,1
gskpro,6,2.585,0,0,0,0,0,0,0,1,0
baobicuongdai com,13,3.085,0,0,1,0,0,0,0,0,0
forexviet,9,2.948,0,0,0,0,0,0,1,0,1
king683 xyz,7,2.807,42.857,0,0,0,0,0,0,1,1
docuware,8,3,0,0,0,0,0,0,0,1,0
daohannganhang,14,2.379,0,0,0,0,0,0,1,0,1
muacodehay com,10,3.122,0,0,0,0,0,0,0,1,1
vaytinchapvungtau online,17,3.337,0,0,1,0,0,0,0,0,1
tranganmontessori edu,17,3.22,0,0,0,0,0,0,1,0,1
ausland,7,2.522,0,0,0,0,0,0,0,1,0
maytinhgiakho,13,3.239,0,0,1,0,0,0,0,0,0
